rating,comment_processed
1,tiny toon kept vibe delivered one popular funny underrated cartoon ever created
1,love authentic mexican food want whole bunch interesting yet delicious meat choose need try place
0,someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scene pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap
0,mediocre food
0,frozen margarita way sugary taste
1,waitress friendly
0,place disgusting
1,highly recommend movie anyone interested art poetry theater politics japanese history
0,translating movie living first movie year working experience found offensive intelligence
1,duet astronaut doctor beginning movie perfect exchange one considers movie made well cold war astronaut biggest fear crashed ussr
1,could serve vinaigrette may make better overall dish still good
0,every time opened mouth expect hear see kid pulling plug mercy killing horrible show
0,google mediocre imagine smashburger pop
1,punishment park brilliant piece cinema
0,not funny
0,never bland food surprised considering article read focused much spice flavor
0,course acting blah
1,food good service good price good
1,gloriously fun fast paced fairly accurate portrayal night raver
1,see film
0,script horrendously stupid
1,not wait go back
0,poor batter meat ratio made chicken tender unsatisfying
0,possible way movie could redeemed would mst k fodder
0,acting suck music suck script suck pacing suck special fx suck directing suck basically movie suck
0,plot pretty much every cheap horror
0,never go
0,pricing bit concern mellow mushroom
0,also story acting weak
1,cast veteran actor nostalgia trip
0,waiter not helpful friendly rarely checked u
1,entertaining nonetheless
0,waaaaaayyyyyyyyyy rated saying
0,total brunch fail
1,plethora salad sandwich everything tried get seal approval
0,probably one people ever go ians not like
0,ordered old classic new dish going time sorely disappointed everything
0,not return
1,good job quite amusing
1,cast great
0,came free dvd player bought still turned thing halfway embarrassed howell
0,even allowing poor production value time format kind mini series baaaaaad
1,yes film require rather significant amount puzzle solving piece fit together create beautiful picture
1,place
1,say film excellently produced top rating typical sci fi film
1,love place hit spot want something healthy not lacking quantity flavor
0,thing went wrong burned saganaki
0,walked place smelled like old grease trap others eating
1,awesome
1,people first timer film making think excellent job
1,food came good pace
0,total waste time
0,see probably leave shelf
1,actor truly understand become particular character delivering convincing sincere performance
0,even woman finally show no sign improvement expected thing happen time film might far asleep
0,show would begin smart as ed comment would totally wall uncalled
1,han nan chicken also tasty
1,eclectic selection
1,price reasonable flavor spot sauce home made slaw not drenched mayo
0,bad experience
0,came back today since relocated still not impressed
1,great service food
0,chip came dripping grease mostly not edible
0,needle say not going back anytime soon
1,staff super nice quick even crazy crowd downtown jury lawyer court staff
0,bad day not low tolerance rude customer service people job nice polite wash dish otherwise
0,slow moving aimless movie distressed drifting young man
0,appetite instantly gone
1,not know emilio estevez directorial debut pacing interplay development character well clever camera work surrounding character estevez play suggest natural eye
1,acting fantastic story seamlessly woven together dog splendid must rent view see
0,never brought salad asked
0,disappointing dinner went elsewhere dessert
1,worth driving tucson
1,food great always compliment chef
0,potato chip order sad could probably count many chip box probably around
0,storm trooper not even bad enough make list wonderfully terrible movie
1,watch preparing delicious food
0,nothing authentic place
0,not think ever gone movie disliked much
0,overall disappointed quality food bouchon
1,structure film easily tightly constructed history cinema
0,not know happened season five mess
1,deal included tasting drink jeff went beyond expected
1,food outstanding price reasonable
0,food not good
0,not
0,case bad laughable
0,not believe even sequel
0,awful dialogue hopeless overacting everyone get shot top real waste space time
1,liked way dustin hoffman character ready everything stay son
1,really liked
0,saw theater thought going sick
0,not much flavor poorly constructed
1,really fantastic thai restaurant definitely worth visit
1,potato great biscuit
1,give film
1,love put food nice plastic container opposed cramming little paper takeout box
1,movie great especially enjoy visual art
0,place not clean food oh stale
0,real disappointment waiter
1,nice relaxing late night viewing
0,refried bean came meal dried crusty food bland
0,god never get minute back
1,showed exactly government scientist argued humanity reason gadget
0,selection food not best
0,possible movie get worse
0,delete film mind
0,worst martini ever
0,terrible management
1,recommended friend
0,full unconvincing cardboard character blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal
1,pretty satifying experience
0,film lack convincing script
1,toro tartare cavier extraordinary liked thinly sliced wagyu white truffle
1,good side staff genuinely pleasant enthusiastic real treat
1,tapa dish delicious
1,back
